id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,winner_index
39,432296,378251,429,150705,25470,201647,25894,150622,4377,172139,0,0,51957,1242,16656,10878,58791,18577,1881,451,997,4126,150,924,936,4573,0.2943,0.007,0.0944,0.0616,0.3331,0.1052,0.0107,0.0026,0.0056,0.0234,0.0008,0.0052,0.0053,0.0259,17
40,486208,394197,13,169113,21287,203784,21296,169024,5147,185173,0,0,62058,1185,17024,12543,61171,16965,1684,420,977,4313,147,813,1215,4658,0.3261,0.0062,0.0894,0.0659,0.3214,0.0891,0.0088,0.0022,0.0051,0.0227,0.0008,0.0043,0.0064,0.0245,13
41,470545,414844,7,160373,19062,235400,19004,160324,4569,174759,2,0,53948,1083,16584,12263,58430,18616,1644,417,987,3851,129,888,957,4962,0.3008,0.006,0.0925,0.0684,0.3258,0.1038,0.0092,0.0023,0.0055,0.0215,0.0007,0.005,0.0053,0.0277,17
42,417630,391815,10389,153664,29363,198397,39751,153545,4883,188413,3,1,57897,1108,16948,9326,70579,18667,2016,472,996,3853,222,858,902,4569,0.2995,0.0057,0.0877,0.0482,0.3651,0.0966,0.0104,0.0024,0.0052,0.0199,0.0011,0.0044,0.0047,0.0236,17
43,393012,381652,4072,117327,34001,226252,38070,117221,3892,151399,0,0,30289,1778,19460,15461,60692,11402,969,496,913,2993,166,846,1060,4874,0.195,0.0114,0.1253,0.0996,0.3908,0.0734,0.0062,0.0032,0.0059,0.0193,0.0011,0.0054,0.0068,0.0314,17
44,396326,397976,3459,123386,28357,242772,31814,123172,4734,150252,2,0,31756,1080,18248,13566,59276,14464,702,393,780,2975,205,643,985,5179,0.2049,0.007,0.1177,0.0875,0.3825,0.0933,0.0045,0.0025,0.005,0.0192,0.0013,0.0041,0.0064,0.0334,17
45,233851,231790,1816,93404,3860,132708,5631,93229,3648,95212,2,0,23597,1098,11525,8646,34362,6843,758,312,777,2073,140,900,627,3554,0.2387,0.0111,0.1166,0.0875,0.3476,0.0692,0.0077,0.0032,0.0079,0.021,0.0014,0.0091,0.0063,0.0359,17
46,566415,510345,0,188577,67805,253963,67798,188395,3492,252701,0,0,54115,2370,13443,17817,129013,19199,2523,1394,2029,2365,736,1602,1932,4163,0.2112,0.0093,0.0525,0.0695,0.5036,0.0749,0.0098,0.0054,0.0079,0.0092,0.0029,0.0063,0.0075,0.0162,17
47,642620,588443,0,224671,89125,274647,89123,224452,4199,309376,0,0,60057,1911,17364,17627,173388,21400,2467,1259,2227,2931,569,1426,1862,4888,0.1915,0.0061,0.0554,0.0562,0.5529,0.0682,0.0079,0.004,0.0071,0.0093,0.0018,0.0045,0.0059,0.0156,17
48,523420,500776,0,283961,106382,110433,106354,283639,4132,385861,0,0,55914,1862,21145,13859,256960,18688,2002,1326,1929,3425,578,1239,1871,5063,0.1434,0.0048,0.0542,0.0355,0.6589,0.0479,0.0051,0.0034,0.0049,0.0088,0.0015,0.0032,0.0048,0.013,17
