id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
57,452598,434259,5368,181827,19895,227169,25262,181560,6391,200431,0,0,"38848
18.78%","3741
1.81%","28374
13.72%","12609
6.10%","86277
41.72%","13112
6.34%","1221
0.59%","616
0.30%","1463
0.71%","4505
2.18%","328
0.16%","1608
0.78%","1544
0.75%","6185
2.99%"
58,508854,379485,0,184071,16846,178568,16842,183785,9037,191590,0,0,"48038
23.94%","1457
0.73%","17436
8.69%","19051
9.50%","67003
33.40%","19218
9.58%","4020
2.00%","648
0.32%","1423
0.71%","2724
1.36%","315
0.16%","2006
0.99%","1291
0.64%","6960
3.47%"
59,499598,393105,629,170892,15524,206060,16094,170481,9217,177358,0,0,"40906
21.92%","1307
0.70%","20386
10.93%","17125
9.18%","61146
32.77%","19972
10.70%","2708
1.45%","503
0.27%","1282
0.69%","2557
1.37%","256
0.14%","1838
0.99%","1278
0.68%","6094
3.27%"
60,506958,386220,1472,177720,14992,192036,16436,177526,8366,185596,0,0,"43522
22.44%","1437
0.74%","18932
9.76%","17077
8.80%","63645
32.81%","22355
11.53%","3490
1.80%","553
0.29%","1404
0.72%","3326
1.71%","296
0.15%","1846
0.95%","1372
0.71%","6341
3.27%"
61,473468,371771,1132,169364,23065,178210,24193,169194,10164,183223,0,0,"43745
22.62%","1084
0.56%","19575
10.12%","13636
7.05%","68148
35.24%","22001
11.38%","2041
1.06%","509
0.26%","1209
0.63%","1952
1.01%","263
0.14%","1395
0.72%","1038
0.54%","6627
3.43%"
62,522182,450334,316,196587,13886,239545,14183,196052,7740,202495,0,0,"60065
28.57%","1885
0.90%","15128
7.20%","11971
5.69%","79690
37.91%","12333
5.87%","2060
0.98%","2331
1.11%","1726
0.82%","4315
2.05%","255
0.12%","1362
0.65%","1501
0.71%","7873
3.74%"
63,473566,424792,0,180733,26210,217849,26195,180291,8106,198380,0,0,"59079
28.61%","1500
0.73%","14798
7.17%","11127
5.39%","77629
37.60%","13423
6.50%","1740
0.84%","1926
0.93%","1590
0.77%","3243
1.57%","257
0.12%","1155
0.56%","1386
0.67%","9527
4.61%"
64,458985,432244,229,175503,26315,230196,26543,175282,7763,194062,1,0,"55510
27.50%","1560
0.77%","17765
8.80%","11463
5.68%","74156
36.74%","12556
6.22%","1223
0.61%","799
0.40%","1474
0.73%","4374
2.17%","233
0.12%","996
0.49%","1134
0.56%","10819
5.36%"
65,484522,455043,0,257629,84430,112984,84429,257419,5799,336049,0,0,"48895
14.30%","1217
0.36%","14626
4.28%","6614
1.93%","216202
63.25%","35252
10.31%","1090
0.32%","685
0.20%","1240
0.36%","2666
0.78%","409
0.12%","1000
0.29%","1339
0.39%","4814
1.41%"
66,456139,448658,0,297742,68793,82123,68758,297155,4864,361049,0,0,"42150
11.52%","1283
0.35%","15132
4.14%","6480
1.77%","247691
67.69%","37255
10.18%","1272
0.35%","732
0.20%","1129
0.31%","2062
0.56%","446
0.12%","989
0.27%","1139
0.31%","3289
0.90%"
67,502797,452214,0,266924,46654,138636,46652,266469,5841,307280,0,0,"45116
14.41%","1583
0.51%","15982
5.10%","8083
2.58%","191858
61.27%","30259
9.66%","1512
0.48%","597
0.19%","1668
0.53%","3012
0.96%","418
0.13%","1267
0.40%","1352
0.43%","4573
1.46%"
68,446238,430145,0,172994,73142,184009,73140,172765,6699,239206,0,0,"52789
21.47%","1261
0.51%","14879
6.05%","12092
4.92%","127486
51.84%","14990
6.10%","960
0.39%","553
0.22%","1791
0.73%","3621
1.47%","377
0.15%","1091
0.44%","1347
0.55%","5969
2.43%"
69,486263,457946,984,203121,17011,236830,17993,202417,6437,213973,0,0,"58229
26.42%","2497
1.13%","35027
15.89%","16527
7.50%","56001
25.41%","13742
6.23%","2402
1.09%","952
0.43%","7574
3.44%","3811
1.73%","319
0.14%","2081
0.94%","1885
0.86%","12926
5.86%"
70,484093,480718,2356,195910,10545,271906,12872,195620,7277,201215,1,0,"55462
26.60%","2324
1.11%","34388
16.49%","16600
7.96%","49111
23.56%","13948
6.69%","2336
1.12%","1194
0.57%","6411
3.07%","3685
1.77%","309
0.15%","1947
0.93%","1826
0.88%","11674
5.60%"
71,612971,531786,2108,220877,32296,276505,34396,220262,8786,245872,0,0,"67622
26.55%","1853
0.73%","36080
14.17%","17927
7.04%","87390
34.32%","14120
5.54%","1389
0.55%","658
0.26%","1828
0.72%","5798
2.28%","336
0.13%","1444
0.57%","1330
0.52%","8097
3.18%"
72,427936,410800,916,164741,10300,234843,11214,164645,5121,170738,0,0,"32223
18.32%","1857
1.06%","24216
13.77%","17218
9.79%","54620
31.06%","17481
9.94%","9946
5.66%","649
0.37%","1380
0.78%","1521
0.86%","228
0.13%","1460
0.83%","2067
1.18%","5872
3.34%"
73,449939,407112,1395,174526,13138,218053,14533,174387,4265,184655,0,0,"35983
19.05%","1861
0.99%","22927
12.14%","18087
9.57%","62877
33.28%","23251
12.31%","5550
2.94%","658
0.35%","1616
0.86%","1805
0.96%","211
0.11%","1532
0.81%","2248
1.19%","6049
3.20%"
74,725572,688433,0,263978,52393,372062,52280,263178,7850,307608,0,0,"56279
17.84%","1684
0.53%","16833
5.34%","17913
5.68%","151742
48.10%","38484
12.20%","1918
0.61%","911
0.29%","2026
0.64%","5362
1.70%","666
0.21%","1561
0.49%","3811
1.21%","8418
2.67%"
75,613225,575290,0,286111,67148,222031,67147,285761,6045,346863,0,0,"64332
18.23%","3434
0.97%","26543
7.52%","22600
6.40%","174429
49.43%","26665
7.56%","2374
0.67%","965
0.27%","2454
0.70%","5134
1.45%","463
0.13%","2233
0.63%","2664
0.75%","12573
3.56%"
76,613073,579253,0,286261,84907,208085,84907,286205,5487,365625,0,0,"70836
19.09%","2241
0.60%","25831
6.96%","17320
4.67%","199536
53.77%","23116
6.23%","1615
0.44%","833
0.22%","2200
0.59%","5728
1.54%","454
0.12%","1674
0.45%","2364
0.64%","11877
3.20%"
77,484828,446761,0,270323,63657,112781,63652,269853,5170,328335,0,0,"47120
14.13%","1181
0.35%","25755
7.72%","9693
2.91%","216247
64.84%","13905
4.17%","1221
0.37%","966
0.29%","1421
0.43%","2706
0.81%","724
0.22%","993
0.30%","1696
0.51%","4707
1.41%"
78,479289,429840,0,263171,64669,102000,64664,263144,3968,323840,0,0,"43463
13.26%","1064
0.32%","31146
9.50%","5688
1.74%","209086
63.78%","18937
5.78%","1392
0.42%","826
0.25%","1195
0.36%","1896
0.58%","521
0.16%","820
0.25%","4124
1.26%","3682
1.12%"
79,553293,489187,248,189534,29085,270320,29331,189370,5120,213581,0,0,"54111
24.74%","1850
0.85%","21220
9.70%","15264
6.98%","86831
39.70%","16748
7.66%","2054
0.94%","911
0.42%","2753
1.26%","2236
1.02%","217
0.10%","1219
0.56%","1748
0.80%","6419
2.94%"
80,550162,496280,0,179268,20001,297011,20001,179086,4937,194150,0,0,"54286
27.27%","1889
0.95%","18135
9.11%","15285
7.68%","70414
35.37%","15736
7.90%","2337
1.17%","928
0.47%","2986
1.50%","2407
1.21%","202
0.10%","1248
0.63%","1802
0.91%","6495
3.26%"
81,431539,406063,0,204231,84164,117667,84145,203800,3243,284702,1,0,"39788
13.82%","1269
0.44%","31824
11.05%","8356
2.90%","170623
59.26%","18232
6.33%","1389
0.48%","1035
0.36%","1309
0.45%","2202
0.76%","309
0.11%","935
0.32%","2044
0.71%","5387
1.87%"
82,465365,438938,0,239489,71137,128306,71136,239479,4006,306609,7,1,"45136
14.53%","1326
0.43%","37199
11.98%","8731
2.81%","178124
57.35%","19650
6.33%","1335
0.43%","813
0.26%","1210
0.39%","1691
0.54%","249
0.08%","946
0.30%","2604
0.84%","7595
2.45%"
83,452264,426001,0,237010,72990,115999,72990,236816,3047,306759,2,0,"44552
14.38%","1221
0.39%","32181
10.39%","8285
2.67%","191512
61.82%","14042
4.53%","1562
0.50%","1011
0.33%","1356
0.44%","2452
0.79%","368
0.12%","1002
0.32%","1595
0.51%","5620
1.81%"
84,458238,434237,0,208580,56756,168902,56753,208444,3773,261424,1,2,"43832
16.53%","1095
0.41%","29281
11.04%","9916
3.74%","145446
54.84%","15777
5.95%","1689
0.64%","973
0.37%","1174
0.44%","2318
0.87%","263
0.10%","989
0.37%","2567
0.97%","6104
2.30%"
85,493744,454845,0,199461,26911,228473,26885,199299,4854,221330,0,0,"45484
20.11%","2209
0.98%","31387
13.88%","17607
7.78%","75127
33.21%","24052
10.63%","3615
1.60%","858
0.38%","1511
0.67%","4719
2.09%","232
0.10%","1611
0.71%","1405
0.62%","11513
5.09%"
86,432178,381591,225,178280,16698,186388,16921,178065,3895,191091,0,0,"45873
23.53%","1727
0.89%","21084
10.81%","14195
7.28%","69375
35.58%","19484
9.99%","1956
1.00%","620
0.32%","1163
0.60%","3718
1.91%","229
0.12%","1685
0.86%","1350
0.69%","8632
4.43%"
87,517354,469838,0,204058,46896,218884,46891,203915,3540,247266,0,0,"52740
21.03%","2002
0.80%","16523
6.59%","15310
6.10%","128706
51.32%","13298
5.30%","2161
0.86%","594
0.24%","1509
0.60%","2366
0.94%","228
0.09%","1401
0.56%","6299
2.51%","4129
1.65%"
88,440519,422788,0,170819,42535,209434,42532,170768,2945,210355,0,0,"44957
21.08%","1550
0.73%","12595
5.90%","11278
5.29%","113784
53.34%","12191
5.72%","1845
0.86%","469
0.22%","1328
0.62%","1994
0.93%","173
0.08%","1112
0.52%","3164
1.48%","3915
1.84%"
89,470134,419253,0,161072,69142,189039,69111,160910,4718,225303,0,0,"48295
20.99%","1349
0.59%","14471
6.29%","14344
6.24%","116364
50.59%","14744
6.41%","1528
0.66%","526
0.23%","1271
0.55%","2630
1.14%","224
0.10%","1063
0.46%","4375
1.90%","4119
1.79%"
90,421160,438069,560,198017,102868,136624,103427,197999,3642,297784,0,0,"48254
16.01%","1250
0.41%","16687
5.54%","9551
3.17%","197588
65.55%","11658
3.87%","840
0.28%","449
0.15%","1197
0.40%","2982
0.99%","225
0.07%","694
0.23%","2218
0.74%","4191
1.39%"
91,393341,348720,86,132075,30134,186425,30220,131953,4049,158124,0,0,"40583
25.02%","1354
0.83%","15571
9.60%","8410
5.19%","65670
40.49%","12545
7.74%","2112
1.30%","483
0.30%","1153
0.71%","2139
1.32%","170
0.10%","969
0.60%","1364
0.84%","5601
3.45%"
92,400836,345585,12,123780,17746,204048,17758,123710,3584,137884,0,1,"44510
31.46%","1288
0.91%","12896
9.12%","9492
6.71%","44371
31.36%","10627
7.51%","3373
2.38%","494
0.35%","1092
0.77%","2195
1.55%","147
0.10%","854
0.60%","1695
1.20%","4850
3.43%"
93,484752,468539,37,179265,11676,277558,11713,179198,4962,185949,3,0,"56205
29.44%","1964
1.03%","14750
7.73%","19622
10.28%","66719
34.95%","11745
6.15%","1836
0.96%","625
0.33%","1389
0.73%","3247
1.70%","645
0.34%","1068
0.56%","1156
0.61%","4978
2.61%"
