id,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,percent13,percent14,percent15,percent16,percent17,percent18,percent19,percent20,percent21,percent22,percent23,percent24,percent25,percent26,percent27,winner_index
62,45359,4405,20427,0,70057,14623,0,4632,2635,15862,0,0,3028,9612,0,0.237930130088124,0.02310634967637,0.107149454626959,0,0.367482711254756,0.076704678856907,0,0.024297071221035,0.013821844271897,0.083203830679632,0,0,0.015883318578863,0.050419570072665,0,17
63,59966,0,10175,7063,71480,16618,3261,4835,4238,0,0,0,0,12125,0,0.316008031154979,0,0.053619990702264,0.037220441703203,0.376683728294627,0.087573170072749,0.017184745914505,0.025479376417243,0.022333318977513,0,0,0,0,0.063896057716457,0,17
64,51049,5306,14041,8982,65922,13367,3800,3648,5981,0,0,0,1854,12088,0,0.274400928842495,0.02852101277055,0.075473705035309,0.048280380217017,0.354346384398377,0.071850795186025,0.020425901227418,0.019608865178321,0.032149293484523,0,0,0,0.009965689704114,0.064975866851849,0,17
65,44298,0,11010,8440,192863,39585,0,6876,0,14506,0,0,3701,9633,0,0.133866405570061,0,0.033271672063996,0.025505259965497,0.582822387763701,0.119623899968507,0,0.020778929801275,0,0.04383641007814,0,0,0.011184237811884,0.029110446593321,0,17
66,38291,0,20233,9977,233145,21611,0,4634,0,13090,0,0,3748,11429,0,0.107511273086664,0,0.056809039506028,0.028012839774212,0.65461095811955,0.060678107683723,0,0.013011075424847,0,0.036753339946321,0,0,0.010523416204646,0.032089680843888,0,17
67,41208,0,12298,9468,193273,15575,0,0,0,15266,5628,0,0,8959,0,0.136597331565426,0,0.040765706245176,0.031384754165663,0.640665989845812,0.051628384677883,0,0,0,0.050604104044467,0.018655829789222,0,0,0.029697508720973,0,17
68,30996,0,11606,17480,128272,13019,0,0,0,21029,0,0,0,9617,0,0.133592507510161,0,0.050021736657217,0.075338614231273,0.552850956789118,0.056111751640557,0,0,0,0.090634766514269,0,0,0,0.041449167795317,0,17
69,44253,0,19388,14881,54987,14950,4153,0,11695,9959,0,0,6633,19044,0,0.221328078502373,0,0.096967528437421,0.074426129083828,0.275013074385623,0.074771227054851,0.020770896719652,0,0.05849160537836,0.049809140484231,0,0,0.033174417996978,0.095247040002179,0,17
70,0,0,31034,20823,36998,22131,9016,3801,0,32913,0,0,5404,23799,0,0,0,0.166922154271484,0.112000387265422,0.199000640063684,0.119035709099124,0.048494236737504,0.020444387071789,0,0.177028706049409,0,0,0.029066421398566,0.128007358043019,0,17
71,49490,0,30565,15136,80246,22577,0,0,0,27948,0,0,0,9089,0,0.21055005084003,0,0.130035492812285,0.064394477971757,0.341397943929809,0.096051409168099,0,0,0,0.118901748834214,0,0,0,0.038668169284177,0,17
72,27469,0,15685,12288,49635,11576,30125,0,3239,3890,0,0,4031,6313,0,0.167237946800933,0,0.095493994129597,0.074812253736978,0.302189633319896,0.070477429138937,0.183408133449418,0,0.01971979897901,0.023683241132556,0,0,0.024541682520651,0.038435038886844,0,17
73,24070,3331,14583,15217,53524,35356,13560,0,3899,0,0,0,4651,6628,0,0.137685263043491,0.019053977980357,0.083417631522797,0.087044236363052,0.306167819353093,0.202243281911814,0.07756587008497,0,0.022303047747883,0,0,0,0.026604635823392,0.037913465112329,0,17
